Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
HG00421.targets_R1	(1, 32.98416820250061)	(2, 33.308472429783706)	(3, 31.61886919051748)	(4, 35.2258641698291)	(5, 36.693024917544236)	(6, 36.99312759693908)	(7, 37.06471416060684)	(8, 37.10954308395456)	(9, 37.167328200815916)	(10, 37.56421528688507)	(15, 39.1356317832666)	(20, 39.09624385121799)	(25, 39.00094081629393)	(30, 38.88119805214138)	(35, 38.71414317893664)	(40, 38.44129715881612)	(45, 38.16328608919311)	(50, 37.81301167233799)	(55, 37.36354140797123)	(60, 36.91499946990128)	(65, 36.46806699866822)	(70, 36.00274024727289)	(75, 35.59803442301296)	(80, 35.56266681770849)	(85, 35.6251034418656)	(90, 35.6418499138045)	(95, 35.58353382683345)	(100, 35.345278998941254)	(105, 35.530509722591354)	(110, 35.56921999968049)	(115, 35.52571211137592)	(120, 35.51083855807341)	(125, 35.52972953346956)	(130, 35.54761724258624)	(135, 35.555582375161755)	(140, 35.593724212149866)	(145, 35.67480404501627)	(150, 34.44329468695855)
HG00421.targets_R2	(1, 32.81739333760317)	(2, 32.87516683586256)	(3, 32.937889858558044)	(4, 36.73711605966733)	(5, 36.77267479097409)	(6, 36.73504359154224)	(7, 36.67042673672684)	(8, 36.7305733344371)	(9, 36.65427397534823)	(10, 37.04731849928328)	(15, 38.49461521368788)	(20, 38.52904984525474)	(25, 38.441313715323915)	(30, 38.366965700434676)	(35, 38.22865350569529)	(40, 37.939149024545756)	(45, 37.612303809013426)	(50, 37.21740960364592)	(55, 36.77456513751341)	(60, 36.48444748464529)	(65, 36.10944664955828)	(70, 35.70463073904475)	(75, 35.29554295905459)	(80, 34.94791496926153)	(85, 35.09197198174137)	(90, 35.127230372187384)	(95, 35.113080657787144)	(100, 35.18994090488577)	(105, 36.23508904932241)	(110, 35.18154385078229)	(115, 35.13887279228409)	(120, 35.07865880668244)	(125, 35.08073679364346)	(130, 35.07027308071588)	(135, 35.09550374627297)	(140, 35.11640822538926)	(145, 35.224330804835084)	(150, 33.6504093378704)
HG00422.targets_R1	(1, 32.98236769977113)	(2, 33.30991249798892)	(3, 31.60403202077901)	(4, 35.2401848311488)	(5, 36.69233411650798)	(6, 36.993102168780176)	(7, 37.06768977007712)	(8, 37.10871005193303)	(9, 37.16521603010174)	(10, 37.561309239963066)	(15, 39.137739789861826)	(20, 39.094392885044364)	(25, 38.997087228069056)	(30, 38.879316797284346)	(35, 38.7078876460843)	(40, 38.43947403131055)	(45, 38.16436695476477)	(50, 37.81424469545328)	(55, 37.359161766389775)	(60, 36.91651261655218)	(65, 36.46249936587494)	(70, 36.000556580623744)	(75, 35.594948740953754)	(80, 35.5621658523293)	(85, 35.6279473045699)	(90, 35.635802918279765)	(95, 35.58451952163055)	(100, 35.348890244909974)	(105, 35.53640602556503)	(110, 35.56952373222095)	(115, 35.52912322608044)	(120, 35.51771564237955)	(125, 35.53115764421453)	(130, 35.54958684034687)	(135, 35.558836224702034)	(140, 35.59464523058237)	(145, 35.674695438792796)	(150, 34.4377637054355)
HG00422.targets_R2	(1, 32.81178298573617)	(2, 32.87709134444658)	(3, 32.93772674500346)	(4, 36.72564633649647)	(5, 36.77626618468331)	(6, 36.73996234384217)	(7, 36.661883068788434)	(8, 36.73292101918029)	(9, 36.65311547453571)	(10, 37.04923390445656)	(15, 38.495785786032435)	(20, 38.52616610163104)	(25, 38.44259784006134)	(30, 38.373586191002815)	(35, 38.23352615566574)	(40, 37.9346345337985)	(45, 37.61257408392482)	(50, 37.220864816132725)	(55, 36.77625545891087)	(60, 36.4832975082871)	(65, 36.11502724201256)	(70, 35.70701885851691)	(75, 35.29216250414899)	(80, 34.9472489118414)	(85, 35.09866580087459)	(90, 35.12836488498059)	(95, 35.10734526986189)	(100, 35.18529177724599)	(105, 36.234067372345194)	(110, 35.17824465486928)	(115, 35.14199096426144)	(120, 35.07851526320901)	(125, 35.07341530335818)	(130, 35.070922865752465)	(135, 35.09193233487021)	(140, 35.117130363067396)	(145, 35.22283835826109)	(150, 33.652389310753165)
HG00423.targets_R1	(1, 32.989977452167416)	(2, 33.30641996969455)	(3, 31.616306940527373)	(4, 35.22564652828629)	(5, 36.6979532948111)	(6, 36.99015000471257)	(7, 37.06274677551494)	(8, 37.11376142798106)	(9, 37.17046016428743)	(10, 37.56446461585308)	(15, 39.13213580900318)	(20, 39.09344807835916)	(25, 38.999081556452964)	(30, 38.876262424870774)	(35, 38.70942412400583)	(40, 38.439868918066544)	(45, 38.16780227508356)	(50, 37.81339210753359)	(55, 37.36395391832029)	(60, 36.91368051678762)	(65, 36.46110042123121)	(70, 36.00463078830413)	(75, 35.59206055289316)	(80, 35.564281623153946)	(85, 35.62379137092272)	(90, 35.6424287858246)	(95, 35.57394340566523)	(100, 35.349297972145095)	(105, 35.53174749327552)	(110, 35.57167238216764)	(115, 35.52467370893721)	(120, 35.510937366326154)	(125, 35.52912846464485)	(130, 35.549785469335674)	(135, 35.55852735827854)	(140, 35.59388583981614)	(145, 35.67661449006373)	(150, 34.43898817507558)
HG00423.targets_R2	(1, 32.81536007656113)	(2, 32.88138970049808)	(3, 32.940782576543)	(4, 36.72923025614628)	(5, 36.77351390933016)	(6, 36.73493029022178)	(7, 36.67429764589028)	(8, 36.735909054658556)	(9, 36.65604477666046)	(10, 37.05053817543809)	(15, 38.50216618695126)	(20, 38.52542249998187)	(25, 38.43868599061837)	(30, 38.376590854715104)	(35, 38.227234011701675)	(40, 37.93673208679827)	(45, 37.61221150011962)	(50, 37.22122715310051)	(55, 36.775233344691834)	(60, 36.485974958130626)	(65, 36.105924932392746)	(70, 35.7085262707625)	(75, 35.29901761050975)	(80, 34.94835052817029)	(85, 35.09694291990807)	(90, 35.12564638328415)	(95, 35.11640568698388)	(100, 35.1822172277041)	(105, 36.23550406368494)	(110, 35.18071761558483)	(115, 35.14034032001972)	(120, 35.07357814527764)	(125, 35.0724477086037)	(130, 35.07311297841643)	(135, 35.09308180295659)	(140, 35.111142979358945)	(145, 35.22475157508573)	(150, 33.64504056434832)
HG00427.targets_R1	(1, 32.97987786042559)	(2, 33.30478479099804)	(3, 31.61295010144459)	(4, 35.22884854953817)	(5, 36.68958100992112)	(6, 36.992086016889544)	(7, 37.06543647277384)	(8, 37.10975883887641)	(9, 37.166182043365204)	(10, 37.56429324519715)	(15, 39.132634992364466)	(20, 39.092675831243774)	(25, 38.99865446334435)	(30, 38.87685308590231)	(35, 38.714141767180685)	(40, 38.44705230596094)	(45, 38.17054814883567)	(50, 37.80928620426111)	(55, 37.36182579955594)	(60, 36.9121955393386)	(65, 36.466858002230474)	(70, 36.004608296267506)	(75, 35.59707601745514)	(80, 35.56147426033915)	(85, 35.625901943182335)	(90, 35.64167451007122)	(95, 35.57995994425261)	(100, 35.34789736331085)	(105, 35.52910596790029)	(110, 35.567794424970884)	(115, 35.527825982286714)	(120, 35.5152921009544)	(125, 35.5275365135257)	(130, 35.54880695653183)	(135, 35.55524314070705)	(140, 35.594936907122005)	(145, 35.67327243274129)	(150, 34.44149206933908)
HG00427.targets_R2	(1, 32.81512285744534)	(2, 32.87538195809084)	(3, 32.94603640983323)	(4, 36.73163229345983)	(5, 36.78157290595601)	(6, 36.73708956273684)	(7, 36.6690499014559)	(8, 36.74081233983865)	(9, 36.658970703615026)	(10, 37.04743372021017)	(15, 38.494926900436376)	(20, 38.52667738880615)	(25, 38.444206056510225)	(30, 38.373178021837774)	(35, 38.23558000345158)	(40, 37.93825787953981)	(45, 37.60743888307985)	(50, 37.21815357797021)	(55, 36.76692630873671)	(60, 36.48733748199884)	(65, 36.10944877664643)	(70, 35.71182340665285)	(75, 35.292225385366166)	(80, 34.95052520597094)	(85, 35.10330786220939)	(90, 35.12536143713408)	(95, 35.11218161699338)	(100, 35.19039155145684)	(105, 36.237638190153135)	(110, 35.17444582539929)	(115, 35.142046497732544)	(120, 35.078343937036195)	(125, 35.070458958811614)	(130, 35.07281589583765)	(135, 35.093615879594914)	(140, 35.11374120970678)	(145, 35.226908412722125)	(150, 33.65418634769027)
HG00428.targets_R1	(1, 32.98445185844351)	(2, 33.302059751936994)	(3, 31.607457252755854)	(4, 35.2549877823608)	(5, 36.69202128738844)	(6, 36.99880722217552)	(7, 37.0583953877325)	(8, 37.11065441907517)	(9, 37.16163516361202)	(10, 37.562030823813814)	(15, 39.136314649862456)	(20, 39.093408272051896)	(25, 38.99308681625424)	(30, 38.875853423112936)	(35, 38.71278547680678)	(40, 38.44179534077503)	(45, 38.16164791749398)	(50, 37.811624583687205)	(55, 37.3607136956402)	(60, 36.91398984906941)	(65, 36.46561089645297)	(70, 36.00216989909941)	(75, 35.59412335902467)	(80, 35.5698472142913)	(85, 35.62015751044224)	(90, 35.637721055209816)	(95, 35.582768635885365)	(100, 35.344369595904844)	(105, 35.52241117935726)	(110, 35.56843385228106)	(115, 35.52525877336642)	(120, 35.510923699901156)	(125, 35.528737104810816)	(130, 35.54409770633027)	(135, 35.55748319531121)	(140, 35.59699791010252)	(145, 35.67748128222892)	(150, 34.44996275286745)
HG00428.targets_R2	(1, 32.81788036278997)	(2, 32.87370903177746)	(3, 32.94627572153638)	(4, 36.72815680318151)	(5, 36.77662880116408)	(6, 36.73991066485407)	(7, 36.6692831448754)	(8, 36.737758447272846)	(9, 36.663067076723294)	(10, 37.04667920798393)	(15, 38.50002956581728)	(20, 38.52931798616204)	(25, 38.44384784618819)	(30, 38.37108144223216)	(35, 38.23275573707293)	(40, 37.93524274405568)	(45, 37.605784755053)	(50, 37.22492195493821)	(55, 36.77171246952837)	(60, 36.49113750134061)	(65, 36.11070137654967)	(70, 35.70932453701958)	(75, 35.29794140750681)	(80, 34.947194580759614)	(85, 35.102962958668726)	(90, 35.12938494404234)	(95, 35.11786181168893)	(100, 35.179308275820084)	(105, 36.23732568486897)	(110, 35.18229790169655)	(115, 35.13975182105143)	(120, 35.0775978063323)	(125, 35.074803546738636)	(130, 35.07267915580896)	(135, 35.09405031406434)	(140, 35.116443232181524)	(145, 35.22279321609424)	(150, 33.64647543573348)
