Sample	0	1	2	3	4	5
HG00421.targets_R1	(34.0, 129.0)	(35.0, 45579.0)	(36.0, 552930.0)	(37.0, 89912.0)	(38.0, 1.0)	
HG00421.targets_R2	(33.0, 10.0)	(34.0, 3796.0)	(35.0, 213646.0)	(36.0, 458764.0)	(37.0, 12335.0)	
HG00422.targets_R1	(34.0, 143.0)	(35.0, 45564.0)	(36.0, 554433.0)	(37.0, 89787.0)		
HG00422.targets_R2	(33.0, 10.0)	(34.0, 3766.0)	(35.0, 214274.0)	(36.0, 459459.0)	(37.0, 12418.0)	
HG00423.targets_R1	(33.0, 1.0)	(34.0, 132.0)	(35.0, 45889.0)	(36.0, 553808.0)	(37.0, 89814.0)	(38.0, 1.0)
HG00423.targets_R2	(33.0, 10.0)	(34.0, 3842.0)	(35.0, 214037.0)	(36.0, 459407.0)	(37.0, 12349.0)	
HG00427.targets_R1	(34.0, 113.0)	(35.0, 45652.0)	(36.0, 553601.0)	(37.0, 90172.0)	(38.0, 1.0)	
HG00427.targets_R2	(33.0, 11.0)	(34.0, 3801.0)	(35.0, 214135.0)	(36.0, 459081.0)	(37.0, 12511.0)	
HG00428.targets_R1	(34.0, 138.0)	(35.0, 46055.0)	(36.0, 554021.0)	(37.0, 89772.0)		
HG00428.targets_R2	(33.0, 5.0)	(34.0, 3684.0)	(35.0, 213816.0)	(36.0, 460013.0)	(37.0, 12468.0)	
HG00429.targets_R1	(34.0, 142.0)	(35.0, 45708.0)	(36.0, 553432.0)	(37.0, 90180.0)		
HG00429.targets_R2	(33.0, 10.0)	(34.0, 3846.0)	(35.0, 213932.0)	(36.0, 459289.0)	(37.0, 12385.0)	
