Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HG00421.targets_R1	(1.0, 94.51773075869143)	(2.0, 5.299137517972466)	(3.0, 0.1769207301036471)	(4.0, 0.0062109932324517225)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HG00421.targets_R2	(1.0, 94.71879278757403)	(2.0, 5.090304182060059)	(3.0, 0.18966072186075608)	(4.0, 0.00124230850515421)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HG00422.targets_R1	(1.0, 94.4279568681527)	(2.0, 5.406490093184824)	(3.0, 0.16182837607614528)	(4.0, 0.0037246625863302397)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HG00422.targets_R2	(1.0, 94.72283195808662)	(2.0, 5.120745811078345)	(3.0, 0.1526077213028615)	(4.0, 0.0024834891594643607)	(5.0, 0.0013310203727069697)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HG00423.targets_R1	(1.0, 94.38962114935431)	(2.0, 5.436557167400252)	(3.0, 0.16761350831622757)	(4.0, 0.006208174929201711)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HG00423.targets_R2	(1.0, 94.83362487840427)	(2.0, 5.005307411836885)	(3.0, 0.15609980381281693)	(4.0, 0.004967905946035151)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HG00427.targets_R1	(1.0, 94.42629078999016)	(2.0, 5.402364789480312)	(3.0, 0.16761937627952178)	(4.0, 0.0037250442500032666)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HG00427.targets_R2	(1.0, 94.76228815378157)	(2.0, 5.09532349571934)	(3.0, 0.13990453901487654)	(4.0, 0.0024838114842126746)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HG00428.targets_R1	(1.0, 94.43061286648027)	(2.0, 5.410690566705657)	(3.0, 0.15373066225307133)	(4.0, 0.00496590456098854)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HG00428.targets_R2	(1.0, 94.73905895582327)	(2.0, 5.105682118590379)	(3.0, 0.15029213908490552)	(4.0, 0.004966786501462181)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HG00429.targets_R1	(1.0, 94.43981500887945)	(2.0, 5.400311877800084)	(3.0, 0.15490629151407145)	(4.0, 0.004966821806393385)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HG00429.targets_R2	(1.0, 94.7035662749404)	(2.0, 5.142481790642647)	(3.0, 0.15146803661263838)	(4.0, 0.0024838978043106425)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
