Sample	qualimap_bamqc-avg_gc	qualimap_bamqc-median_insert_size	qualimap_bamqc-1_x_pc	qualimap_bamqc-5_x_pc	qualimap_bamqc-10_x_pc	qualimap_bamqc-30_x_pc	qualimap_bamqc-50_x_pc	qualimap_bamqc-median_coverage	qualimap_bamqc-mean_coverage	qualimap_bamqc-percentage_aligned_on_target	qualimap_bamqc-regions_size	qualimap_bamqc-regions_mapped_reads	qualimap_bamqc-general_error_rate	qualimap_bamqc-percentage_aligned	qualimap_bamqc-mapped_reads	qualimap_bamqc-mapped_paired_reads	qualimap_bamqc-total_reads	qualimap_bamqc-ns	qualimap_bamqc-duplication_rate	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
HG00421.targets_R1																				2.772174157313003	49.0	150.0	150	0.0	0.688551
HG00421.targets_R2																				2.6725243036493964	49.0	150.0	150	0.0	0.688551
HG00422.targets_R1																				2.813924127582908	49.0	150.0	150	0.0	0.689927
HG00422.targets_R2																				2.6650388195755	49.0	150.0	150	0.0	0.689927
HG00423.targets_R1																				2.834677053774513	49.0	150.0	150	0.0	0.689645
HG00423.targets_R2																				2.610446171253173	49.0	150.0	150	0.0	0.689645
HG00427.targets_R1																				2.81572242878066	49.0	150.0	150	0.0	0.689539
HG00427.targets_R2																				2.642794299149429	49.0	150.0	150	0.0	0.689539
HG00428.targets_R1																				2.8115568199422825	49.0	150.0	150	0.0	0.689986
HG00428.targets_R2																				2.6567609085612105	49.0	150.0	150	0.0	0.689986
HG00429.targets_R1																				2.8071519162642176	49.0	150.0	150	0.0	0.689462
HG00429.targets_R2																				2.6740825097496383	49.0	150.0	150	0.0	0.689462
child	52.352035193245264	299	99.99954536844099	99.9976763275873	99.99611037443961	94.96738018564122	7.6531666350950305	40																	
child_sorted									39.9424	51.496651152725306	1979625	0.7091299999999999	0.38999999999999996	99.99557040800173	1.377041	0.7091	1.377102	0	12.75						
father	52.335966612013706	300	99.999696912294	99.99737323988128	99.9934836143209	95.06921765485887	7.655641851360738	40																	
father_sorted									40.055	51.531654285196595	1979625	0.711008	0.38999999999999996	99.99246297072008	1.37975	0.7109559999999999	1.379854	0	12.74						
mother	52.33373959157092	299	99.99974742691167	99.99717118141062	99.99560522826293	94.99698175159436	8.119972216960283	40																	
mother_sorted									40.063	51.60442948261073	1979625	0.711735	0.38999999999999996	99.9944174176569	1.379213	0.7116939999999999	1.37929	0	12.74						
