Module	Section	Sample Name	Source
QualiMap	genome_results	child_sorted	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/qualimap/child/genome_results.txt
QualiMap	genome_results	father_sorted	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/qualimap/father/genome_results.txt
QualiMap	genome_results	mother_sorted	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/qualimap/mother/genome_results.txt
QualiMap	coverage_histogram	child	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/qualimap/child/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	father	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/qualimap/father/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	mother	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/qualimap/mother/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	insert_size_histogram	child	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/qualimap/child/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	father	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/qualimap/father/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	mother	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/qualimap/mother/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	mapped_gc_distribution	child	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/qualimap/child/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	father	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/qualimap/father/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	mother	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/qualimap/mother/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
FastQC	all_sections	HG00421.targets_R1	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/HG00421.targets_R1_fastqc.zip
FastQC	all_sections	HG00421.targets_R2	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/HG00421.targets_R2_fastqc.zip
FastQC	all_sections	HG00422.targets_R1	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/HG00422.targets_R1_fastqc.zip
FastQC	all_sections	HG00422.targets_R2	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/HG00422.targets_R2_fastqc.zip
FastQC	all_sections	HG00423.targets_R1	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/HG00423.targets_R1_fastqc.zip
FastQC	all_sections	HG00423.targets_R2	/home/BCG2026_Pourhamzeh_P/exam_project/trio_5/fastqc/HG00423.targets_R2_fastqc.zip
FastQC	all_sections	HG00427.targets_R1	/home/BCG2026_Pourhamzeh_P/exam_project/trio_1/fastqc/HG00427.targets_R1_fastqc.zip
FastQC	all_sections	HG00427.targets_R2	/home/BCG2026_Pourhamzeh_P/exam_project/trio_1/fastqc/HG00427.targets_R2_fastqc.zip
FastQC	all_sections	HG00428.targets_R1	/home/BCG2026_Pourhamzeh_P/exam_project/trio_1/fastqc/HG00428.targets_R1_fastqc.zip
FastQC	all_sections	HG00428.targets_R2	/home/BCG2026_Pourhamzeh_P/exam_project/trio_1/fastqc/HG00428.targets_R2_fastqc.zip
FastQC	all_sections	HG00429.targets_R1	/home/BCG2026_Pourhamzeh_P/exam_project/trio_1/fastqc/HG00429.targets_R1_fastqc.zip
FastQC	all_sections	HG00429.targets_R2	/home/BCG2026_Pourhamzeh_P/exam_project/trio_1/fastqc/HG00429.targets_R2_fastqc.zip
